code,animal_proportion,fao_subgroup_code,has_fish,has_meat_or_poultry,has_seafood,name,ep_phd_poultry,ep_phd_dairy,ep_phd_nuts,ep_phd_fruits,ep_phd_eggs,ep_phd_vegetables,ep_phd_animal_fats,ep_phd_plant_oils_saturated,ep_phd_meat,ep_phd_tubers_roots,ep_phd_refined_grains,ep_phd_none,ep_phd_plant_oils_unsaturated,ep_phd_legumes,ep_phd_sugar,ep_phd_whole_grains,ep_phd_fish,ep_phd_alcohol
F033487,0.0,1101,False,False,False,"Kasvirasvalevite 70 %, keiju laktoositon, catering, d-vit 20 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F033488,0.0,1101,False,False,False,"Margariini 40 %, keiju kevyt laktoositon, catering, d-vit 20 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F033489,0.0,1101,False,False,False,"Margariini 60 %, keiju normaalisuolainen, catering, d-vit 20 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F033494,0.0,905,False,False,False,"Paprika, punainen, säilyke",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033496,0.0,1101,False,False,False,"Kasvirasvalevite 70%, becel gold, d-vit 10 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033499,0.0,302,False,False,False,"Soijarouhe, vaalea tai tumma",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F033501,0.0,302,False,False,False,"Tofu, soijavalmiste",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F033502,0.0,302,False,False,False,"Nakki, soijanakki",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0,0.0,0.0,0.0
F033519,0.0,1701,False,False,False,"Makeutusaine, stevia, canderel green -jauhe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033520,0.0,1701,False,False,False,"Makeutusaine, stevia, canderel green -puriste",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033521,0.0,1701,False,False,False,"Makeutusaine, stevia, canderel green -stick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033531,0.2,1201,False,False,False,"Pulla, mustikka-vadelmapitko, pullava, oululainen, fazer",,,,,,,,,,,,,,,,,,0.0
F033540,0.7,703,False,True,False,"Broilerinuggetti, kananpojan paneroidut nuggetit, hk/kariniemi",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
